Ranking,University,Location,Tuition,Enrollment
#1,Princeton University,"Princeton, NJ","$59,710","5,604
 (fall 2022)"
#2,Massachusetts Institute of Technology,"Cambridge, MA","$60,156","4,657
 (fall 2022)"
#3,Harvard University,"Cambridge, MA","$59,076","7,240
 (fall 2022)"
#3,Stanford University,"Stanford, CA","$62,484","8,049
 (fall 2022)"
#5,Yale University,"New Haven, CT","$64,700","6,645
 (fall 2022)"
#6,University of Pennsylvania,"Philadelphia, PA","$66,104","9,760
 (fall 2022)"
#7,California Institute of Technology,"Pasadena, CA","$63,255","982
 (fall 2022)"
#7,Duke University,"Durham, NC","$66,172","6,640
 (fall 2022)"
#9,Brown University,"Providence, RI","$68,230","7,639
 (fall 2022)"
#9,Johns Hopkins University,"Baltimore, MD","$63,340","6,044
 (fall 2022)"
#9,Northwestern University,"Evanston, IL","$65,997","8,659
 (fall 2022)"
#12,Columbia University,"New York, NY","$65,524","8,832
 (fall 2022)"
#12,Cornell University,"Ithaca, NY","$66,014","15,735
 (fall 2022)"
#12,University of Chicago,"Chicago, IL","$65,619","7,470
 (fall 2022)"
#15,"University of California, Berkeley","Berkeley, CA","$48,465
 (out-of-state)
$15,891
 (in-state)","32,831
 (fall 2022)"
#15,University of California--Los Angeles,"Los Angeles, CA","$46,326
 (out-of-state)
$13,752
 (in-state)","32,423
 (fall 2022)"
#17,Rice University,"Houston, TX","$58,128","4,494
 (fall 2022)"
#18,Dartmouth College,"Hanover, NH","$65,511","4,458
 (fall 2022)"
#18,Vanderbilt University,"Nashville, TN","$63,946","7,151
 (fall 2022)"
#20,University of Notre Dame,"Notre Dame, IN","$62,693","8,971
 (fall 2022)"
#21,University of Michigan--Ann Arbor,"Ann Arbor, MI","$57,273
 (out-of-state)
$17,786
 (in-state)","32,695
 (fall 2022)"
#22,Georgetown University,"Washington, DC","$65,082","7,900
 (fall 2022)"
#22,University of North Carolina--Chapel Hill,"Chapel Hill, NC","$39,338
 (out-of-state)
$8,998
 (in-state)","20,210
 (fall 2022)"
#24,Carnegie Mellon University,"Pittsburgh, PA","$63,829","7,509
 (fall 2022)"
#24,Emory University,"Atlanta, GA","$60,774","7,101
 (fall 2022)"
#24,University of Virginia,"Charlottesville, VA","$58,950
 (out-of-state)
$22,323
 (in-state)","17,496
 (fall 2022)"
#24,Washington University in St. Louis,"St. Louis, MO","$62,982","8,132
 (fall 2022)"
#28,"University of California, Davis","Davis, CA","$46,043
 (out-of-state)
$15,266
 (in-state)","31,532
 (fall 2022)"
